dataset,init,kmeans,award
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,1000.690435409546,509.9690623283386,0.03311514854431152
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1104.7623002529144,588.673730134964,0.03376293182373047
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,838.4984583854675,253.66680383682248,1.315964937210083
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,530.315345287323,214.90124869346616,0.321073532104492
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,616.9910769462585,214.0141155719757,0.2691218852996827
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,588.5674285888672,327.4978024959564,6.106168031692506
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,573.4948787689208,233.78777146339417,0.16949224472045896
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,754.2786226272583,226.55607676506042,1.3174850940704341
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,658.1696841716765,290.00048828125,0.5388560295104975
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,530.901035785675,209.73663139343267,0.26110148429870605
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,538.5638830661773,182.84594345092773,0.42505669593811
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,525.7431643009186,228.63540887832642,0.7318904399871827
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,691.8069372177123,261.8924877643585,0.026941537857055664
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,769.4393320083618,373.97160172462463,0.02952742576599121
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,902.7771542072297,475.68298053741455,0.027130126953125
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,738.16579246521,347.4791307449341,0.026770830154418945
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,829.562937259674,410.0545620918274,0.031124353408813477
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,926.6282191276549,429.044095993042,0.11221981048583998
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,889.7878887653351,417.5437350273132,0.030364990234375
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,886.8437795639038,438.9010977745056,0.029042959213256836
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,756.8367323875427,411.0408720970154,0.04194092750549315
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,844.1959862709047,426.3308074474335,0.02832961082458496
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1054.1857533454895,678.4786686897278,0.033582448959350586
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,1145.7939279079437,868.7201869487761,0.03390216827392578
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1108.3552551269531,514.5035173892975,0.03449368476867675
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,1157.7512493133545,589.8342590332031,0.03094768524169922
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,952.0745432376862,451.2457251548767,0.032808780670166016
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,954.6393332481384,547.5224344730377,0.03125905990600586
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1075.3255107402802,550.694591999054,0.03412222862243652
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,991.6570625305176,557.2959761619568,0.03534269332885742
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,978.3816339969636,592.7359223365784,0.032562971115112305
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1105.0969879627228,509.82005286216736,0.03496551513671875
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,493.9515941143036,189.6611506938934,0.42372941970825195
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,597.4482865333557,198.04304599761963,0.37498831748962425
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,586.4502704143523,251.0958127975464,2.0401110649108887
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,666.6777617931366,271.9386188983917,3.133497953414917
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,505.1298260688782,225.93762588500977,0.41633272171020497
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,686.0722494125366,363.66611552238464,3.1372201442718506
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,545.9247794151306,225.41070270538327,0.4029150009155278
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,506.83360719680786,234.1885368824005,0.5638964176177977
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,503.9180145263672,179.24391365051267,0.3235323429107666
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,482.2985215187073,203.2596275806427,0.33940935134887706
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,721.7207975387574,320.4087333679199,0.027313232421875
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,925.9888060092927,518.0195341110231,0.029378890991210938
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,963.4471032619475,437.1995701789856,0.15089082717895505
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,699.2701938152313,282.15409994125366,0.027544260025024414
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,755.9866666793823,344.86665987968445,0.029102087020874023
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,752.375688791275,387.4272084236145,0.02955007553100586
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,919.6493642330171,393.0306875705719,0.029986858367919922
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,1088.8589851856232,415.5281660556794,0.030445098876953125
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,756.4309523105621,371.54678893089294,0.029345035552978516
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,785.6800675392152,420.29579544067394,0.027678251266479492
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1226.8486578464508,843.6400785446167,0.032820940017700195
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,1042.2833292484283,581.6783611774445,0.027439117431640625
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1042.2707886695862,512.1729161739349,0.034345388412475586
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,947.2709176540375,543.9219000339508,0.030292987823486328
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,1045.6957812309265,529.4953753948213,0.031070709228515625
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,1048.647458076477,573.9769747257233,0.03272509574890137
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1065.903418302536,650.5438511371613,0.03461623191833496
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,1040.2470018863678,606.5186603069305,0.0335536003112793
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,995.5322229862213,572.4630632400513,0.03228878974914551
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1025.1958296298978,493.57052993774414,0.029910802841186523
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,490.7441647052765,192.5082712173462,0.19785666465759277
